Id,Date,CalculatedDailySteps
1927972279,2016-03-20,3189
1927972279,2016-03-21,917
1927972279,2016-03-22,7058
1927972279,2016-03-23,4008
1927972279,2016-03-24,709
1927972279,2016-03-25,4212
1927972279,2016-03-26,2595
1927972279,2016-03-27,18579
1927972279,2016-03-28,21216
1927972279,2016-03-29,4673
1927972279,2016-03-30,16361
1927972279,2016-03-31,5873
1927972279,2016-04-01,4317
1927972279,2016-04-02,5662
1927972279,2016-04-03,3198
1927972279,2016-04-04,2352
1927972279,2016-04-05,2234
1927972279,2016-04-06,1259
1927972279,2016-04-07,768
1927972279,2016-04-08,519
1927972279,2016-04-09,2523
1927972279,2016-04-10,2105
1927972279,2016-04-11,1209
1927972279,2016-04-12,24
2022484408,2016-03-12,10522
2022484408,2016-03-13,9790
2022484408,2016-03-14,11694
2022484408,2016-03-15,10663
2022484408,2016-03-16,12650
2022484408,2016-03-17,8653
2022484408,2016-03-18,12351
2022484408,2016-03-19,15054
2022484408,2016-03-20,11479
2022484408,2016-03-21,13055
2022484408,2016-03-22,12011
2022484408,2016-03-23,15355
2022484408,2016-03-24,15847
2022484408,2016-03-25,16503
2022484408,2016-03-26,13361
2022484408,2016-03-27,10374
2022484408,2016-03-28,9740
2022484408,2016-03-29,15144
2022484408,2016-03-30,14519
2022484408,2016-03-31,16043
2022484408,2016-04-01,13603
2022484408,2016-04-02,5477
2022484408,2016-04-03,11144
2022484408,2016-04-04,15313
2022484408,2016-04-05,10805
2022484408,2016-04-06,15392
2022484408,2016-04-07,18247
2022484408,2016-04-08,13023
2022484408,2016-04-09,16267
2022484408,2016-04-10,10005
2022484408,2016-04-11,10106
2022484408,2016-04-12,6667
2026352035,2016-03-12,7676
2026352035,2016-03-13,7757
2026352035,2016-03-14,10185
2026352035,2016-03-15,10052
2026352035,2016-03-16,10408
2026352035,2016-03-17,6562
2026352035,2016-03-18,2025
2026352035,2016-03-19,3089
2026352035,2016-03-20,3406
2026352035,2016-03-21,4603
2026352035,2016-03-22,3322
2026352035,2016-03-23,3211
2026352035,2016-03-24,2152
2026352035,2016-03-25,4069
2026352035,2016-03-26,2217
2026352035,2016-03-27,3317
2026352035,2016-03-28,3340
2026352035,2016-03-29,2839
2026352035,2016-03-30,2739
2026352035,2016-03-31,8093
2026352035,2016-04-01,2605
2026352035,2016-04-02,1229
2026352035,2016-04-03,2308
2026352035,2016-04-04,6679
2026352035,2016-04-05,5645
2026352035,2016-04-06,3180
2026352035,2016-04-07,2767
2026352035,2016-04-08,3762
2026352035,2016-04-09,3098
2026352035,2016-04-10,5142
2026352035,2016-04-11,3279
2026352035,2016-04-12,957
2320127002,2016-03-12,2680
2320127002,2016-03-13,0
2320127002,2016-03-14,0
2320127002,2016-03-15,0
2320127002,2016-03-16,0
2320127002,2016-03-17,0
2320127002,2016-03-18,0
2320127002,2016-03-19,0
2320127002,2016-03-20,0
2320127002,2016-03-21,0
2320127002,2016-03-22,6542
2320127002,2016-03-23,4999
2320127002,2016-03-24,2906
2320127002,2016-03-25,302
2320127002,2016-03-26,0
2320127002,2016-03-27,0
2320127002,2016-03-28,0
2320127002,2016-03-29,0
2320127002,2016-03-30,0
2320127002,2016-03-31,0
2320127002,2016-04-01,0
2320127002,2016-04-02,0
2320127002,2016-04-03,0
2320127002,2016-04-04,0
2320127002,2016-04-05,4931
2320127002,2016-04-06,6999
2320127002,2016-04-07,1846
2320127002,2016-04-08,3417
2320127002,2016-04-09,4863
2320127002,2016-04-10,2277
2320127002,2016-04-11,11230
2320127002,2016-04-12,1592
2347167796,2016-03-12,13356
2347167796,2016-03-13,15984
2347167796,2016-03-14,10372
2347167796,2016-03-15,10530
2347167796,2016-03-16,10016
2347167796,2016-03-17,10091
2347167796,2016-03-18,10331
2347167796,2016-03-19,10299
2347167796,2016-03-20,14253
2347167796,2016-03-21,10060
2347167796,2016-03-22,10072
2347167796,2016-03-23,10083
2347167796,2016-03-24,10635
2347167796,2016-03-25,7272
2347167796,2016-03-26,12806
2347167796,2016-03-27,6613
2347167796,2016-03-28,6288
2347167796,2016-03-29,10272
2347167796,2016-03-30,10533
2347167796,2016-03-31,6760
2347167796,2016-04-01,8328
2347167796,2016-04-02,15459
2347167796,2016-04-03,7485
2347167796,2016-04-04,10254
2347167796,2016-04-05,10111
2347167796,2016-04-06,11107
2347167796,2016-04-07,10320
2347167796,2016-04-08,10209
2347167796,2016-04-09,16081
2347167796,2016-04-10,10078
2347167796,2016-04-11,10001
2347167796,2016-04-12,0
2873212765,2016-03-12,12315
2873212765,2016-03-13,14526
2873212765,2016-03-14,8629
2873212765,2016-03-15,8395
2873212765,2016-03-16,7689
2873212765,2016-03-17,11953
2873212765,2016-03-18,13478
2873212765,2016-03-19,8022
2873212765,2016-03-20,6737
2873212765,2016-03-21,8895
2873212765,2016-03-22,6519
2873212765,2016-03-23,10970
2873212765,2016-03-24,9716
2873212765,2016-03-25,2002
2873212765,2016-03-26,7660
2873212765,2016-03-27,0
2873212765,2016-03-28,9062
2873212765,2016-03-29,9945
2873212765,2016-03-30,9643
2873212765,2016-03-31,13919
2873212765,2016-04-01,890
2873212765,2016-04-02,2214
2873212765,2016-04-03,7640
2873212765,2016-04-04,9713
2873212765,2016-04-05,8432
2873212765,2016-04-06,7350
2873212765,2016-04-07,9353
2873212765,2016-04-08,7157
2873212765,2016-04-09,14103
2873212765,2016-04-10,5290
2873212765,2016-04-11,7471
2891001357,2016-04-05,360
3372868164,2016-03-12,6789
3372868164,2016-03-13,7761
3372868164,2016-03-14,6444
3372868164,2016-03-15,5229
3372868164,2016-03-16,7576
3372868164,2016-03-17,4504
3372868164,2016-03-18,6652
3372868164,2016-03-19,4606
3372868164,2016-03-20,7937
3372868164,2016-03-21,6886
3372868164,2016-03-22,4042
3372868164,2016-03-23,4905
3372868164,2016-03-24,6330
3372868164,2016-03-25,5196
3372868164,2016-03-26,5700
3372868164,2016-03-27,8635
3372868164,2016-03-28,5341
3372868164,2016-03-29,8609
3372868164,2016-03-30,5520
3372868164,2016-03-31,8218
3372868164,2016-04-01,5785
3372868164,2016-04-02,7625
3372868164,2016-04-03,4706
3372868164,2016-04-04,5861
3372868164,2016-04-05,4460
3372868164,2016-04-06,6406
3372868164,2016-04-07,7392
3372868164,2016-04-08,5551
3372868164,2016-04-09,8827
3372868164,2016-04-10,4626
3977333714,2016-03-12,8193
3977333714,2016-03-13,6062
3977333714,2016-03-14,2907
3977333714,2016-03-15,13823
3977333714,2016-03-16,16441
3977333714,2016-03-17,12218
3977333714,2016-03-18,11239
3977333714,2016-03-19,2370
3977333714,2016-03-20,0
3977333714,2016-03-21,0
3977333714,2016-03-22,0
3977333714,2016-03-23,0
3977333714,2016-03-24,0
3977333714,2016-03-25,0
3977333714,2016-03-26,0
3977333714,2016-03-27,0
3977333714,2016-03-28,0
3977333714,2016-03-29,0
3977333714,2016-03-30,0
3977333714,2016-03-31,1104
3977333714,2016-04-01,4499
3977333714,2016-04-02,7618
3977333714,2016-04-03,11508
3977333714,2016-04-04,11943
3977333714,2016-04-05,12303
3977333714,2016-04-06,15425
3977333714,2016-04-07,8422
3977333714,2016-04-08,10226
3977333714,2016-04-09,14581
3977333714,2016-04-10,3470
3977333714,2016-04-11,3052
3977333714,2016-04-12,753
4020332650,2016-03-12,5543
4020332650,2016-03-13,3186
4020332650,2016-03-14,2997
4020332650,2016-03-15,5871
4020332650,2016-03-16,12422
4020332650,2016-03-17,919
4020332650,2016-03-18,0
4020332650,2016-03-19,0
4020332650,2016-03-20,0
4020332650,2016-03-21,0
4020332650,2016-03-22,0
4020332650,2016-03-23,0
4020332650,2016-03-24,0
4020332650,2016-03-25,0
4020332650,2016-03-26,0
4020332650,2016-03-27,0
4020332650,2016-03-28,385
4020332650,2016-03-29,4137
4020332650,2016-03-30,5390
4020332650,2016-03-31,7428
4020332650,2016-04-01,5329
4020332650,2016-04-02,4277
4020332650,2016-04-03,6094
4020332650,2016-04-04,6429
4020332650,2016-04-05,6865
4020332650,2016-04-06,7431
4020332650,2016-04-07,6543
4020332650,2016-04-08,9689
4020332650,2016-04-09,7734
4020332650,2016-04-10,5094
4020332650,2016-04-11,2929
4020332650,2016-04-12,8
4057192912,2016-03-12,0
4057192912,2016-03-13,0
4057192912,2016-03-14,8433
4057192912,2016-03-15,0
4057192912,2016-03-16,2139
4057192912,2016-03-17,0
4057192912,2016-03-18,949
4057192912,2016-03-19,0
4057192912,2016-03-20,44
4057192912,2016-03-21,2660
4057192912,2016-03-22,5561
4057192912,2016-03-23,7239
4057192912,2016-03-24,7
4057192912,2016-03-25,0
4057192912,2016-03-26,0
4057192912,2016-03-27,2275
4057192912,2016-03-28,8
4057192912,2016-03-29,5137
4057192912,2016-03-30,5419
4057192912,2016-03-31,0
4057192912,2016-04-01,0
4057192912,2016-04-02,0
4057192912,2016-04-03,0
4057192912,2016-04-04,0
4057192912,2016-04-05,0
4057192912,2016-04-06,18
4057192912,2016-04-07,4
4057192912,2016-04-08,8426
4057192912,2016-04-09,1650
4057192912,2016-04-10,3434
4057192912,2016-04-11,6801
4057192912,2016-04-12,163
4319703577,2016-03-12,9266
4319703577,2016-03-13,7664
4319703577,2016-03-14,8498
4319703577,2016-03-15,7767
4319703577,2016-03-16,9512
4319703577,2016-03-17,8240
4319703577,2016-03-18,6427
4319703577,2016-03-19,6055
4319703577,2016-03-20,3870
4319703577,2016-03-21,6822
4319703577,2016-03-22,7885
4319703577,2016-03-23,8996
4319703577,2016-03-24,10223
4319703577,2016-03-25,8596
4319703577,2016-03-26,5910
4319703577,2016-03-27,3482
4319703577,2016-03-28,9449
4319703577,2016-03-29,5643
4319703577,2016-03-30,9024
4319703577,2016-03-31,8144
4319703577,2016-04-01,9343
4319703577,2016-04-02,8405
4319703577,2016-04-03,8223
4319703577,2016-04-04,10067
4319703577,2016-04-05,8359
4319703577,2016-04-06,10946
4319703577,2016-04-07,9130
4319703577,2016-04-08,6420
4445114986,2016-03-12,4189
4445114986,2016-03-13,5777
4445114986,2016-03-14,7585
4445114986,2016-03-15,4997
4445114986,2016-03-16,4532
4445114986,2016-03-17,7572
4445114986,2016-03-18,3951
4445114986,2016-03-19,5133
4445114986,2016-03-20,4033
4445114986,2016-03-21,8193
4445114986,2016-03-22,2972
4445114986,2016-03-23,4794
4445114986,2016-03-24,2806
4445114986,2016-03-25,5044
4445114986,2016-03-26,7174
4445114986,2016-03-27,4993
4445114986,2016-03-28,2987
4445114986,2016-03-29,2303
4445114986,2016-03-30,2600
4445114986,2016-03-31,4804
4445114986,2016-04-01,3271
4445114986,2016-04-02,5383
4445114986,2016-04-03,3146
4445114986,2016-04-04,2422
4445114986,2016-04-05,4228
4445114986,2016-04-06,6911
4445114986,2016-04-07,6667
4445114986,2016-04-08,5543
4445114986,2016-04-09,4191
4445114986,2016-04-10,6625
4445114986,2016-04-11,5986
4445114986,2016-04-12,278
4558609924,2016-03-12,7616
4558609924,2016-03-13,2942
4558609924,2016-03-14,929
4558609924,2016-03-15,3743
4558609924,2016-03-16,3195
4558609924,2016-03-17,5767
4558609924,2016-03-18,3452
4558609924,2016-03-19,0
4558609924,2016-03-20,3446
4558609924,2016-03-21,0
4558609924,2016-03-22,0
4558609924,2016-03-23,0
4558609924,2016-03-24,0
4558609924,2016-03-25,3673
4558609924,2016-03-26,4879
4558609924,2016-03-27,8131
